http://www.w3.org/ns/prov#wasDerivedFrom,http://purl.org/dc/elements/1.1/format,Pollinator Group,Polinator ,Plant,Visitation Rate (visits per hour per plant),Mean Nectar Volume (microlitres),Mean Sugar Concentration (%),Flower Colour,Location,Latitude,Longitude,Source,Title,Plant Native Status,Habitat Type,Successful Pollination
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L200,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Bird,Parus caeruleus,Scrophularia calliantha ,23.4,,,Red,Gran Canaria,27.966444,-15.594472,"Ortega-Olivencia, 2012","Insects, birds and lizards as pollinators of Europe and Macronesia.pdf",Native,Maquis,Legitimate Visit (Observed)
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L201,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Bird,Sylvia atricapilla,Scrophularia grandiflora ,4.2,,,Red,"Coimbra, (Rabacal and Pombalinho) Portugal",40.022611,-8.465778,"Ortega-Olivencia, 2012","Insects, birds and lizards as pollinators of Europe and Macronesia.pdf",Native,"Maquis, Garrigue",Legitimate Visit (Observed)
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L202,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Bird,Sylvia melanocephala,Scrophularia grandiflora ,4.2,,,Red,"Coimbra, (Rabacal and Pombalinho) Portugal",40.022611,-8.465778,"Ortega-Olivencia, 2012","Insects, birds and lizards as pollinators of Europe and Macronesia.pdf",Native,"Maquis, Garrigue",Legitimate Visit (Observed)
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L203,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Bird,Sylvia atricapilla,Scrophularia sambucifolia ,3,,,Red-orange,"Moron de la Frontera and El Gastor, Spain",36.85325,-5.325306,"Ortega-Olivencia, 2012","Insects, birds and lizards as pollinators of Europe and Macronesia.pdf",Native,"Maquis, Garrigue",Legitimate Visit (Observed)
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L204,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Bird,Phylloscopus collybita,Scrophularia sambucifolia ,3,,,Red-orange,"Moron de la Frontera and El Gastor, Spain",36.85325,-5.325306,"Ortega-Olivencia, 2012","Insects, birds and lizards as pollinators of Europe and Macronesia.pdf",Native,"Maquis, Garrigue",Legitimate Visit (Observed)
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L205,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Bird,Sylvia melanocephala,Scrophularia sambucifolia ,23.4,,,Red-orange,"Moron de la Frontera and El Gastor, Spain",36.85325,-5.325306,"Ortega-Olivencia, 2012","Insects, birds and lizards as pollinators of Europe and Macronesia.pdf",Native,"Maquis, Garrigue",Legitimate Visit (Observed)
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L206,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Bird,Sylvia atricapilla,Scrophularia trifoliata ,0.61,,,Orange,"Santu Lussurgiu, Sardinia",40.141389,8.647861,"Ortega-Olivencia, 2012","Insects, birds and lizards as pollinators of Europe and Macronesia.pdf",Native,Ash grove (disturbed habitat),Legitimate Visit (Observed)
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L207,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Bird,Sylvia melanocephala,Scrophularia trifoliata ,0.61,,,Orange,"Santu Lussurgiu, Sardinia",40.141389,8.647861,"Ortega-Olivencia, 2012","Insects, birds and lizards as pollinators of Europe and Macronesia.pdf",Native,(Colder habitats on islands with harsher conditions to inhiibit insects),Legitimate Visit (Observed)
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L208,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Podarcis lilfordi,Sedum rubens,,,,Pink-white,Rei Island,39.887167,4.287222,"Peréz-Mellado, 2000","Pollen load and transport by the insular lizard, Podarcis lilfordi (Squamata, Lacertidae) in coastal islets of Menorca (Balearic Islands, Spain)",Native,Rocky slopes / sun-exposed,Potential Pollination (Pollen Grains found on lizard)
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L209,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Podarcis lilfordi,Senecio spp.,,,,NA,Aire Island,39.801194,4.290528,"Peréz-Mellado, 2000","Pollen load and transport by the insular lizard, Podarcis lilfordi (Squamata, Lacertidae) in coastal islets of Menorca (Balearic Islands, Spain)",Native,Scrubland / rocky slope,Potential Pollination (Pollen Grains found on lizard)
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L210,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Podarcis lilfordi,Silene vulgaris,,,,White,Cabrera Gran,39.142167,2.945194,"Romera-Egea, 2023",Assessing the role of lizards as potential pollinators,Native,Insular Plant Community ,Legitimate Visit
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L211,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Podarcis lilfordi,Silybum marianum ,,,,Purple,Santija Island,40.092561,4.07567,"Peréz-Mellado, 2000","Pollen load and transport by the insular lizard, Podarcis lilfordi (Squamata, Lacertidae) in coastal islets of Menorca (Balearic Islands, Spain)",Native,Disturbed / field margins,Potential Pollination (Pollen Grains found on lizard)
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L212,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Podarcis lilfordi,Solanum nigrum,,,,White,Rei Island,39.887167,4.287222,"Peréz-Mellado, 2000","Pollen load and transport by the insular lizard, Podarcis lilfordi (Squamata, Lacertidae) in coastal islets of Menorca (Balearic Islands, Spain)",Native,Disturbed,Potential Pollination (Pollen Grains found on lizard)
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L213,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Teira dugesii,Strelitzia reginae,,,,NA,"Miradouro de S Sebastiao, Ribeira Brava",32.67,-17.062778,"Camara, 2025",Teira dugesii (Squamata: Lacertidae) visiting flowers: new observations and a review,Ornamental,NA,Legitimate Visit
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L214,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Podarcis lilfordi,Tamarix africana,,,,Pink-white,Aire Island,39.801194,4.290528,"Peréz-Mellado, 2000","Pollen load and transport by the insular lizard, Podarcis lilfordi (Squamata, Lacertidae) in coastal islets of Menorca (Balearic Islands, Spain)",Native,Coastal / riparian ,Potential Pollination (Pollen Grains found on lizard)
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L215,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Podarcis lilfordi,Tamus communis,,,,Yellow,Rei Island,39.887167,4.287222,"Peréz-Mellado, 2000","Pollen load and transport by the insular lizard, Podarcis lilfordi (Squamata, Lacertidae) in coastal islets of Menorca (Balearic Islands, Spain)",Native,Mediterranean shrub,Potential Pollination (Pollen Grains found on lizard)
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L216,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Podarcis lilfordi,Teucrium capitatum,,,,Purple-white,Cabrera Gran,39.142167,2.945194,"Romera-Egea, 2023",Assessing the role of lizards as potential pollinators,Native,Insular Plant Community ,Legitimate Visit
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L217,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Teira dugesii,Tracheoulium caeruleum,,,,Purple,NA,NA,NA,Beyhl 1991,Beyhl 1990,Introduced,NA,NA
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L218,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Podarcis lilfordi,Umbelliferae undet,,,,NA,Aire Island,39.801194,4.290528,"Peréz-Mellado, 2000","Pollen load and transport by the insular lizard, Podarcis lilfordi (Squamata, Lacertidae) in coastal islets of Menorca (Balearic Islands, Spain)",NA,NA,Potential Pollination (Pollen Grains found on lizard)
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L219,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Podarcis lilfordi,Urtica Membranacea,,,,NA,Aire Island,39.801194,4.290528,"Peréz-Mellado, 2000","Pollen load and transport by the insular lizard, Podarcis lilfordi (Squamata, Lacertidae) in coastal islets of Menorca (Balearic Islands, Spain)",Native,Ruderal / field margins,Potential Pollination (Pollen Grains found on lizard)
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L220,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Podarcis lilfordi,Veronica hederifolia,,,,Purple-blue,Rei Island,39.887167,4.287222,"Peréz-Mellado, 2000","Pollen load and transport by the insular lizard, Podarcis lilfordi (Squamata, Lacertidae) in coastal islets of Menorca (Balearic Islands, Spain)",Native,Disturbed / field margins,Potential Pollination (Pollen Grains found on lizard)
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L221,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Podarcis lilfordi,Withania frutescens,8.4,1.15,80 (range of 70-90%),Green-yellow,"Na Redona Islet (Cabrera Archipelago), Balearic Islands",39.168333,2.976306,"Muñoz-Gallego, 2025",Mixed mating system and intraspecifc variation in lizard pollination of Withania frutescens (L.) Pauquy,Native,Mediterranean shrub,Legitimate Pollinator
